"Hiroshima mon amour","Drammatico","Alain Resnais",1959,90,12
"Raging Bull","Biografico","Martin Scorsese",1980,129,12
"Deadpool 2","Azione","David Leitch",2018,119,16
"The Lion in Winter","Biografico","Anthony Harvey",1968,134,6
"The Adventures of Robin Hood","Azione","Michael Curtiz",1938,102,6
"Shine","Biografico","Scott Hicks",1996,105,0
"Apocalypse Now","Drammatico","Francis Ford Coppola",1979,147,16
"The Fugitive","Azione","Andrew Davis",1993,130,0
"Mononoke-hime","Animazione","Hayao Miyazaki",1997,134,0
"The Killing Fields","Biografico","Roland Joffé",1984,141,12
"El ángel exterminador","Drammatico","Luis Buñuel",1962,95,12
"Sleuth","Mistero","Joseph L. Mankiewicz",1972,138,6
"The Last Picture Show","Drammatico","Peter Bogdanovich",1971,118,16
"Ayla: The Daughter of War","Biografico","Can Ulkay",2017,125,12
"Taxi Driver","Drammatico","Martin Scorsese",1976,114,16
"Blade Runner","Fantascienza","Ridley Scott",1982,117,12
"In the Mood for Love","Romantico","Wong Kar-wai",2000,98,6
"Raiders of the Lost Ark","Avventura","Steven Spielberg",1981,115,6
"The Shining","Horror","Stanley Kubrick",1980,144,16
"Modern Times","Commedia","Charlie Chaplin",1936,87,0
"Se7en","Thriller","David Fincher",1995,127,16
